year,origin,total_aged,3,4,5,6,7,8
2011,hor,135,0.2593,0.7333,0,0.0074,0,0
2011,nor,104,0,0.1442,0.7019,0.1442,0.0096,0
2012,hor,151,0.5364,0.457,0.0066,0,0,0
2012,nor,169,0.0118,0.3195,0.5207,0.1361,0.0118,0
2013,hor,222,0.3198,0.6712,0.009,0,0,0
2013,nor,113,0,0.3097,0.5664,0.0973,0.0177,0.0088
2014,hor,131,0.3206,0.6565,0.0229,0,0,0
2014,nor,148,0.0135,0.4054,0.4797,0.0946,0.0068,0
2015,hor,239,0.5146,0.4728,0.0126,0,0,0
2015,nor,180,0,0.2278,0.6111,0.1611,0,0
2016,hor,149,0.2483,0.7383,0.0134,0,0,0
2016,nor,139,0,0.2878,0.5108,0.1942,0.0072,0
2017,hor,50,0.08,0.88,0.04,0,0,0
2017,nor,47,0.0426,0.1064,0.5319,0.2979,0.0213,0
2018,hor,74,0.9865,0,0.0135,0,0,0
2018,nor,93,0.0323,0.5699,0.3548,0.043,0,0
2019,hor,38,0.4211,0.5789,0,0,0,0
2019,nor,35,0,0.6,0.3143,0.0571,0.0286,0
2020,hor,31,0.3226,0.6774,0,0,0,0
2020,nor,80,0,0.525,0.475,0,0,0
2021,hor,56,0.0357,0.9107,0.0536,0,0,0
2021,nor,81,0,0.0617,0.9136,0.0247,0,0
