Year,Location,Origin,Spawners
2017,Above Tumwater,Natural,75
2017,Above Tumwater,Hatchery,121
2017,Below Tumwater,Natural,10
2017,Below Tumwater,Hatchery,6
2018,Above Tumwater,Natural,28
2018,Above Tumwater,Hatchery,23
2018,Below Tumwater,Natural,2
2018,Below Tumwater,Hatchery,1
2019,Above Tumwater,Natural,58
2019,Above Tumwater,Hatchery,29
2019,Below Tumwater,Natural,4
2019,Below Tumwater,Hatchery,4
2021,Above Tumwater,Natural,76
2021,Above Tumwater,Hatchery,72
2021,Below Tumwater,Natural,1
2021,Below Tumwater,Hatchery,0
